English,Occidental
exercise,"v. exercir (-ition, -ida), practicar"
exercise-book,caderne
exert,"efortiar se, penar, usar, aplicar"
exertions,"strapacie, labore"
exhale,exhalar (-ation)
exhaust,"exhauster (-ion, -iv); (empty) vacuar; n. (mech.) escapament"
exhibit,"exhibir (-tion), exposir, monstrar"
exhilarate,"alegrar, invigorar"
exhort,exhortar (-ation) monir
exhume,exhumar (-ation)
exigency,"exigentie, beson, urgentie"
exiguous,scarsi; litt
exile,n. exilie (-ar); (person) exiliate
exist,exister (-entie)
exit,"exeada, surtida"
exonerate,exonerar (-ation)
exorbitant,"excessiv, exorbitant, ínmoderat"
exorcise,"exorcisar, exsorciar"
exotic,~
expand,"expander (-sion, -siv, -sibil), dilatar"
expanse,"expansion, extension, area"
expatiate,"detalliatmen tractar, explicar"
expatriate,"expatriar, exiliar; (oneself) emigrar"
expect,expectar (-ation)
expectorate,"expectorar, exsputar"
expedient,"a. prudent, oportun; n. expediente, medie"
expendite,"expedir, inviar; accelerar"
expedition,"~; (promptitude) promptitá, celeritá"
expel,"ejecter, expulser; demisser"
expend,"expenser, consumar"
expense,"~ (-iv), custas"
experience,v. experir (-entie)
experiment,"~ (-ar), essaye, prova"
expert,"~, versat in"
expiate,"expiar, peniter"
expire,"expirar (-ation), exhalar, morir; (to end) terminar"
explain,explicar (-ation)
expletive,maledition
explicit,"~, precisi, distint, clar"
explode,"exploder (-sion, -siv, -sive); (tr.) explodentar"
exploit,"v. explotar (-ation, -ero); n. grand, heroic action"
explore,"explorar (-ation, -ator)"
exponent,"~, expositor"
export,"exportar (-ation, -ator)"
expose,"exposir (-ition, -itor), decovrir"
expostulate,"protestar, reprochar"
exposure,exposition; manca de protection
expound,"explicar, interpretar"
express,"v. expresser (-ion, -iv, -ivitá); a. express; (definite) definitiv"
expressly,intentionalmen
expropriate,"expropriar, privar (de)"
expulsion,~
expunge,efaciar
expurgate,expurgar (-ation)
exquisite,"exquisit, rafinat"
extant,existent
extasy,extase (-tic)
extempore,"exprompte, improvisat"
extend,"extender (-sion, -siv, -sibil); (the fife of) prorogar"
extent,"gradu, dimension"
extenuate,"extenuar (-ation), palliar, mitigar, eufemiar"
exterior,a. exteriori; n. exteriore
exterminate,"exterminar (-ation), extirpar"
external,extern
extinct,extint(et) (-ion)
extinguish,extinter
extirpate,extirpar (-ation)
extol,"laudar, glorificar"
extort,"extorder (-sion, -siv)"
extortionate,"extorsiv, ínmoderat, excessiv"
extra,"~, suplementari"
extract,v. extracter (-ion); n. extracte
extradite,extradir (-ition)
extraneous,"extran, foren, extern"
extraordinary,extraordinari
extravagant,~ (-ie)
extreme,"a. extrem (-ist, -itá, -isme)"
extricate,"extirar, debarassar"
extrinsic,~
exuberant,"~ (-ie), superabundant"
exude,exsudar
exult,"exultar, jubilar"
eye,"ocul; v. guatar, observar"
eyebrow,brove
eyelash,cilie
eyelet,oculette
eyelid,palpebre
eyesight,visivitá
eye-witness,testimon oculari
eyrie,áquil-nest
fable,"fabul (-ist, -osi), saga, legende"
fabric,"edificie, structural (cloth.) stoff, materie, textage"
fabricate,"fabricar, inventer"
facade,fassade
face,"facie (-al), visage; (of clock) disco; (of coins etc.) averse; (surface) superficie. ~ to ~: vis-a-vis, contra; v. frontar. to make a ~: grimassar. to be faced with: star avan"
facet,facette
facetious,jocosi
facile,facil (-itá)
facsimile,~
fact,"facte. in ~: in facte, efectivmen. as a matter of ~: advere"
faction,"partise, clique"
factitious,"artificial, fals"
factor,"~, agente"
factory,"fabrica, usina"
facultative,facultativ
faculty,"talent, capabilitá; (univ.) facultá"
fad,"marotte, dadá"
fade,"marcir, pallidar, evanescer"
faeces,"fecallia, excrement"
fag,v. fatigar; n. servitor; strapacie
faggot,"fasce, fagotte"
faience,fayance
fail,"dessuccesser; (business or examina tion) fallir, bancrottar; (grow weak) debilijar; (be wanting) mancar; (a person) decepter. without ~: ínfallibilmen"
failing,"manca, delicte, culpa"
failure,"bancrotte, dessuccesse, defecte; cessation, falliment"
faint,"a. debil, pallid; v. evanescer (-ement)"
faint-hearted,"pusilanim, timid, decorageosi"
fair,"bell, pretti; blond; honest, ínpartial, just, ""fair""; seren; n. ferie"
fair-copy,nettage
fairly,"honestmen, justmen; (enough) sat, passabilmen, alquant"
fairy,"fea, silf(a), elf. ~ tale: fiaba. ~ art: feeríe; a. feeric"
faith,"fide, crede, confidentic; confession"
faithful,fidel (-itá)
faithless,"ínfidel, perfid (-ie)"
fake,falsificar (-ation); n. fraude; (naut.) rul de cordage
falchion,"gladie, sabre"
falcon,~ (-ero)
fall,"v. cader; ~ asleep: indormir. ~ away: deserter. ~ in: crular, cader in ruinas; (mil.) formar se in ranges, stantar se. ~ out: querellar; ocurrer; (on exchange) ~ due: scader; (noun) cade, cadida"
fallacious,"ilusiv, deceptiv, sofistic"
fallacy,"sofisme, fals conclusion, erra"
fallible,fallibil (-itá)
fallow,"íncultivat, ínusat, reposant; (colour) falvi"
false,"fals (-itá), fictiv, perfid. to play ~: perfider"
falsehood,"mentie, mentida"
falsetto,falsett(e)
falsify,falsificar (-ation)
falter,"chancelar, vacilar; (in speech) hesitar, balbutiar"
fame,"fama (-osi), renomé"
familiar,"fainiliari (-tá, -isar)"
family,familie (-al)
famine,~; (fig.) manca
famish,afamar. to be famished: famear
fan,ventol (-ar); (tech.) ventilator
fanatic,fanatic (-o). fanaticisme: fanatisme
fanciful,"fantastic, capriciosi, imaginari, marottic"
fancy,"fantasie, imagination, idé, notion, preferentie, gust; v. imaginar, preferer, presentar se"
fane,temple
fanfare,"fanfare, tush"
fang,griffe
fantastic,~
fantasy,fantasie
far,"a. lontan, distant; adv. mult. ~ too much: mult tro mult. as ~ as i know: secun quo yo save"
farce,"farse, buffa, comedie; (cul.) farce"
fare,v. standar; n. nutriment; passagero; precie. how much is the ~?: quant custa li viage?
farewell,"adío, til revide!; a. demissional"
farina,farine
farm,"farme (-ero); v. cultivar; (- out) locar, forluar"
farrago,"mixtura, conglomerate"
farrier,huf-forjero; veterinario
farther,plu lontan
fascinate,"fascinar (-ation), charmar"
fashion,"moda; maniere, custom; (cut of garment) fasson; v. fassonar"
fashionable,secun li moda
fast,"rapid, veloci; fix, stabil, firm; (of clock) avansat, tro rapid; n. carema (-ar), abstinentie"
fasten,"fixar, ligar, serrar; (a dress) agraffar"
fastidious,desfacilmen satisfat
fat,"a. grassi, corpulent; n. grasse"
fate,"~ (-al), destine"
father,"patre. father-in-law: belpatre. ~less: orfan, sin patre; v. geniter; (- upon) atribuer a"
fathom,"(naut.) brassade. ~line: sonde; v. sondar; comprender, penetrar"
fatigue,"fatiga (-ar), exhaustion"
fatten,"ingrassar, far (devenir) grass"
fatuous,"fatui (-tá), idiotic, absurd, inept"
fault,"defecte, manca, erra, culpa; v. to find ~: criticar"
faulty,"ínperfect, defectiv"
fauna,"~, animalité"
favour,"favore (-ar, -abil)"
favourite,"a. favorit (-e, -isme), preferet"
fawn,"cervello; a. cervin; v. to ~ upon: repter avan, flattachar"
fawning,"servil, reptiv"
fay,"fea, nimfa"
fealty,fidelitá
fear,"v. timer (-ore, -orosi)"
fearful,terribil; timid
feasible,"possibil, practicabil, efectuabil"
feast,"festine, banquette, regale; v. festinar, regalar (se)"
feat,"(of agility etc.) artificie, habilitá; heroic action"
feather,plum. feathered: plumat. ~ weight: (sport) plum-póndere
feature,"trate, caracteristica"
february,februar
fecund,"~ (-itá), fertil (-itá)"
federal,~ (-isme)
federate,federar (-ation)
fee,"honorarie, recompense"
feeble,"debil (-itá, -isar)"
feed,"v. a. nutrir, alimentar; (eat) manjar; (cattle) forragear. to ~ on: nutrir se per"
feel,"sentir; (by touch) palpar, tastar."
how do you do?|how|do,qualmen vu standa?
feeler,(ent.) antenne. to put out feelers: sondar
feeling,"sente, sensation, emotion"
feign,"ficter, simular"
feint,"fiction, simulation, pretexte; tric; (fencing) finte"
felicitate,"felicitar, gratular"
feline,catin
fell,"a. terribil, cruel; v. abatter, cadentar"
felloe,felga
fellowship,membratu; (brotherhood) fraternité
felon,"criminard, malefator"
felt,n. feltre (-in)
female,"n. fémina (-in, -initá, -isme); female"
femur,femur (-al)
fen,"palude, morasse"
fence,"palissade; v. palissar, inhagar; (sport) escrimar, parar"
fencing,(sport) escrime (-ero)
fend for|fend,"provider por, cuidar"
fender,para-foy; (naut.) garda-látere
fennel,fenicul
ferment,"~ (-ar, -ation), maichar"
fern,filice
ferocious,"feroci, savagi"
ferret,furette. to ~ about: furettar
ferrule,virol
ferry,pram
fertile,"fertil, fecund (-itá)"
ferule,ferul
fervent,"~, ardent"
fervid,"~, ardent, avid, passionat"
fervour,"fervore, ferventie, zel"
festal,"~, gay"
fester,"v. supurar, ulcerar"
festive,"festal, festiv"
festival,festa
festivity,"festa, gayita"
festoon,feston (-ar)
fetch,aportar; (a person) far venir
fete,festa (-ar)
fetid,"~, malodorant"
fetish,"fetiche, idol"
fetlock,fanon
fetter,"ligar, incatenar, impedir; n. caten, ferre"
feud,"vendetta, querell; (fief) feude (-al, -alisme)"
fever,febre (-osi)
few,poc
fez,~
fiance|fiancee,sponso (-a)
fiasco,~
fiat,decrete
fibre,"~ (-in, -osi)"
fibula,~
fickle,"ínconstant, capriciosi"
fiction,(feigning) ~; (novels) romanes
fictitious,"fictiv, fals, inventet"
fiddle,n. violine. ~ bow: arc. ~ string: corde
fiddlesticks,nonsense
fidelity,fidelitá
fidget,"v. esser desquiet, movettar se nervosimen"
fie,fi!
field,"agre, prate, camp"
field-glass,binocul
fiend,diábol (-ic)
fierce,"furiosi, feroci, violent"
fiery,"ardent, foyosi, impetuosi"
fife,siffluore
fifth,quinesim; (mus.) quinte
fig,figue (-iero)
fight,"v. combatter; (with sword) escrimar, gladiar; (with fist) boxar; n. combatte"
figment,fiction
figure,"figura (-ar, -ant), forme, statura; (number) ciffre; v. calcular"
figure of speech|figure,trope
figurehead,antefigura; (person) comparse
filament,"fil, fibre, filament"
filch,furter
file,n. (papers) file; classificator; (mil.) range; (tool) lime; v. classificar; (mech.) limar
filial,~
filibuster,corsaro; v. obstructer (-or)
filigree,filigran
filings,limallia
fill,"v. plenar; (teeth) piumbar; n. plenitá, satie"
filler,funel
fillet,"cap-band; (cul.) filé, pisc despinat"
fillip,"stimul, incitation"
filly,"cavallella, yun cavalla"
film,"membrane, pellículi (phot.) film (-actor, -stelle)"
filter,filtre (-ar)
filth,"sordidage, sordidallia"
fin,"pinne, svimmuore. fin-footed: pinnipedat"
final,"~, ultim. finale: ~"
finance,"financie (-al, -ero)"
finch,pinson
find,"trovar; constatar; (supply with) provider; n. trova, trovage"
finding,"n. sententie, verdicte, judicie"
fine,"a. bell; (thin) tenui; subtil; (sharp) acut: (delicate) fin, delicat; n. punition pocuhiari, multa, amende"
finery,ornamentes
finesse,"~, astutie, subtilitá; (at cards) finte"
finger,fingre; v. palpar. ~ print: fingre-print
finger-post,"pal indicatori, indicator de via"
finicking,"tro precisi, afectat"
finish,"v. a. finir, terminar; (of stuffs) apretar; v.n. cessar; n. fine"
fisished,(refined) rafinat
finite,"finit, limitat"
fiord,~
fir,abiete
fire,"foy; incendie; v. incendiar, far foy; (a gun) tirar, dar foy; (heat) calentar."
fir alarm|fire,foy-alarmaparate.
firbrigade|fire,incendie-brigade.
firescape|fire,salv-aparate.
firguard|fire,para-foy.
fireman|fire,"pumpero, parafoyero; (stoker; calentator, foymann."
firplace|fire,camine.
firwood|fire,combustibile.
firworks|fire,"foyes artificial, pirotecnica"
firm,"a. ~, fix, stabil; n. firma"
firmament,~
first,"unesim, prim. at ~: in prim"
firstling,primicie
firth,"estuarie, inboccatura"
fiscal,~
fish,"pise (-ar, -ator, -iera)"
fishing-line,pisc-fil. ~rod: canne a piscar
fishmonger,"pisc-venditor, piscero"
fission,~
fissure,"fissura, fensura"
fist,punie
fistula,fistul
fit,"apt, bon, util; decent; in bon statu; san; n. humor, capricie; (med.) accesse, convulsion, paroxisme; v. adaptar, ajustar, acomodar; ( ~ up, ~ out) equipar, provider, installar, monter; (a suit) ad-mesurar"
fitter,montero
fitting,a. convenent
fittings,accessories
five,quin
fix,"fixar, regular, ligar; n. dilemma"
fixture,arangeament; (property) imobilie
fizz,sibilar
flabbergast,"consternar, astonar"
flabby,"moll, lax"
flaccid,"debil, marcid"
flag,"flagga, standarte, baniere; (stone) strad-petre; v. debilijar, languir"
flagellate,flagellar (-ation)
flagon,flacon
flagrant,"~, notori"
flail,drachuore
flake,flocc; (metal) lámine; v. exfoliar
flambeau,torche
flamboyant,"florid, flammeant"
flame,flamme; ardore. ~ thrower: lansa-flamme; v. flammar
flamingo,~
flange,~
flank,"flanca (-ar), látere"
flannel,flanelle
flap,"clappe; (of wing) batte; v. clappar; frappar, batter"
flare,"v. flammear, flagrar; n. torche. to ~ up: (fig.) incolerar se"
flash,"n. scintille, fúlmine; v. lucer, fulminar, eclatar"
flask,"botelle, flacon"
flat,"a. plan, plat; (of voice) fals; (of taste) fad, ínsipid, adv. flatly: francmen; n. apartament; etage; (mus.) bemoll; (naut.) bassfunde"
flat-foot,platpede
platiron,ferro-glattuore
flatten,"aplatar, aplanar; aplastar"
flatter,"flattar (-osi, -ant)"
flatulence,"flatu (-ent, -entie, -osi), gas intestinal; fatuitá, vanitá"
flaunt,"paradar, ostentar"
flavour,"sapore, gust, aroma; v. spicear"
flaw,defecte; (crack) fensura
flax,lin (-atri)
flay,"depellar, excoriar; torturar"
flea,pulce
fledged,"volativ, vola-capabil; plumat"
fledgeling,avielle
flee,"fugir (-itor, -ida), forcurrer"
fleece,"lane, lan-pelle; v. tonder; (cheat) fraudar"
fleet,"a. rapid, agil; n. flotte"
fleeting,"fugitiv, efemeri"
flesh,"carne (-al, -ivori, -osi)"
flexible,flexibil (-itá)
flick,(noun) tappa
flicker,"flamettar, movettar se"
flight,vola(da); (fleeing) fugida; (flock) volade
flighty,"frivol, de levi anim, ínconstant"
flimsy,"ínsubstantial, tenui"
flinch,(retro)ceder
fling,"jettar, lansar; (of horses) regambar"
flint,silice (-osi)
flippant,"temerari, frivoli, ínseriosi"
flirt,"n. coquetto (-a), flirt; v. coquettar, amorettar; flirtar"
flit,"translocar; (of birds) glissar, volettar ( a ci e ta)"
float,"v. flottar; (hover) planear; n. flottuore; (angler's) flottette, svimmuore"
flock 1.|flock,(wool etc.) flocc
flock 2.|flock,"greg, truppe, gruppe; v. amassar se, gregar se"
floe,camp de glacie
flog,"flagellar (-ation), knutar, castigar"
flood,"v. inundar (-ation); n. torrent, flut, diluvie"
floor,"suol, planc-suol; (storey) etage. inlaid ~: parquett"
flora,(bot.) ~
floral,~
floret,florette
florid,"tro ornat, ostentativ"
florist,~
floss,"lane de semes, lanuge"
floss-silk,filoselle
flossy,silkin
flotilla,flottille
flotsam,"flottallia, vrecallia"
flounce,precipitar se
flounder,"v. gambear, chancelar; n. (fish) pleuronecte"
flour,farine
flourish,"florear, prosperar: (a weapon) brandisser; n. (in writing) floscul, arabesca; fanfare; volut"
flout,"mocar, derider"
flow,"v. fluer; n. currente, flution"
flower,"flor. ~ bed: flor-bed; v. florar, florescer"
fluctuate,"fluctuar (-ation), variar"
flue,fum-tube
fluent,~ (-ie)
fluff,"lanuge, flocc"
fluid,"~, liquid (-itá); (noun) fluide, liquide"
fluke,hasarde; (fish) pleuronecte
flunkey,"lacayo, leccard, adulator; servitor in livré"
fluorspar,fluor
fluorescent,~
flurry,"v. confuser, agitar. flurried: anxiosi, confuset"
flush,"v. rubijar; (~ out) rinsar; n. ruble, rubiation"
fluster,agitar
flute,flaute; (arch.) cannel; (of anchor) pattes del ancre
flutter,v. (birds) volettar; (of heart) palpitar; (flags) far flirtar; n. ínquietesse
fluvial,"~ flux: fluentie; (soldering) medie a suldar, suldage"
fly 1.|fly,v. volar; (in aeroplane) aviar; (fig.) hastar; (flag) far flirtar
fly 2.|fly,(insect) mosca
flying buttress|flying,suporte arcat
foal,cavallello
foam,scum (-ar)
focus,foco (-al)
fodder,forrage
foe,"ínamico, adversario"
foetus,feto
fog,"(spess) nebul (-osi, -ositá)"
foghorn,sirene
foible,"capricie, debilesse"
foil,"v. frustrar, vanificar; n. florete, rapiere; (metal) folie"
foist upon|foist,obtruder
fold,"plica; (sheep) corrale, hagatura. mani~: multiplic; v. plicar; (hands) junter; (sheep) inhagar, incorralar"
folding,plicabil
foliage,~
folio,"~, págine"
folk,"gente; (a people) popul, nation"
folklore,~
follow,sequer; succeder; obedir
follower,"adherente, partisan, adepte; successor"
folly,"follie, stultie, stultesse"
foment,"fomentar (-ation), incitar"
fond,"tendri, indulgent, afectionat. to be ~ of: amar, apreciar"
fondle,caressar
font,cuve baptismal
food,"manjage, nutriment, aliment; (animals) forrage, vorage"
food-stuffs,"nutritives, victuales"
fool,"n. folio, idiote, stulton; v. decepter, dupar; (make a ~ of) ridiculisar"
foolhardy,temerari
foolish,"folli, stupid"
foot 1.|foot,"pede; base; v. ear a pede, pedear, vader"
foot- 2.|foot,"~ball: futballe. ~man: lacayo. ~mark: ped-tracie. ~note: ped-note. ~passenger: pedon, pedeator. ~path: ped-via, viette, trottuore. ~print: ped-tracie, vestigie. ~step: passu. ~stool"
fop,"dandy, fatuo"
foppish,"afectat, dandyatri"
for,"(prep.) por; (because) pro que; (during) durante; (in exchange for) por, contra; (in spite of) malgre; (on account of) pro; (on behalf of) por; (towards) a; ~ever: por sempre"
forage,forrage; v. serchar forrage
foray,"razzia, raubatori excurse"
forbear,abstener se de; n. (forebear) preavo
forbid,"interdicter, prohibir"
forbidding,"repugnant, repulsiv"
force,"fortie, vigore, violentie; (might) potentie. in ~: valid, valent. by ~: per fortie, violentmen; v. fortiar, violar; obligar; (to ~ upon) obtruder"
forceps,forcepse
forcible,"fort, fortiosi, violent"
ford,vada (-ar)
fore~,pre-
to the fore|fore,in avan
forearm,avan-brasse
forebode,"pre-indicar, presentir (-iment), predir"
forecast,"predir, previder, augurar, prognosticar"
forefathers,preavos
forefinger,"fingre indicatori, index-fingre"
forefront,avan-fronte
forego,renunciar; preceder
foregoing,precedent. the ~: lu precedent
foreground,avanplan
forehead,fronte
foreign,"foren, extran; strangi; (bot.) exotic"
foreigner,"extrano, foreno"
